"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"MidCentral","Maori","full",169,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Nelson Marlborough","Maori","full",73,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Northland","Maori","full",254,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"South Canterbury","Maori","full",23,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Southern","Maori","full",154,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Tairawhiti","Maori","full",106,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Taranaki","Maori","full",83,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Waikato","Maori","full",400,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Wairarapa","Maori","full",40,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Waitemata","Maori","full",280,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"West Coast","Maori","full",13,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Whanganui","Maori","full",72,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"National","Maori","full",3319,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Auckland","Maori","proportion",0.859060402684564,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Bay of Plenty","Maori","proportion",0.84083044982699,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Canterbury","Maori","proportion",0.930147058823529,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Capital and Coast","Maori","proportion",0.919075144508671,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Counties Manukau","Maori","proportion",0.837953091684435,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Hawkes Bay","Maori","proportion",0.879166666666667,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Hutt Valley","Maori","proportion",0.821705426356589,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Lakes","Maori","proportion",0.803030303030303,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"MidCentral","Maori","proportion",0.857868020304569,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Nelson Marlborough","Maori","proportion",0.879518072289157,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Northland","Maori","proportion",0.776758409785933,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"South Canterbury","Maori","proportion",0.958333333333333,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Southern","Maori","proportion",0.911242603550296,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Tairawhiti","Maori","proportion",0.921739130434783,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Taranaki","Maori","proportion",0.821782178217822,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Waikato","Maori","proportion",0.831600831600832,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Wairarapa","Maori","proportion",0.930232558139535,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Waitemata","Maori","proportion",0.869565217391304,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"West Coast","Maori","proportion",0.928571428571429,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Whanganui","Maori","proportion",0.827586206896552,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"National","Maori","proportion",0.854971664090675,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Auckland","Pacific","eligible",235,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Bay of Plenty","Pacific","eligible",26,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Canterbury","Pacific","eligible",88,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Capital and Coast","Pacific","eligible",97,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Counties Manukau","Pacific","eligible",641,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Hawkes Bay","Pacific","eligible",39,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Hutt Valley","Pacific","eligible",44,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Lakes","Pacific","eligible",NA,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"MidCentral","Pacific","eligible",45,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Nelson Marlborough","Pacific","eligible",13,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Northland","Pacific","eligible",10,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"South Canterbury","Pacific","eligible",NA,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Southern","Pacific","eligible",31,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Tairawhiti","Pacific","eligible",NA,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Taranaki","Pacific","eligible",NA,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Waikato","Pacific","eligible",63,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Wairarapa","Pacific","eligible",NA,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Waitemata","Pacific","eligible",225,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"West Coast","Pacific","eligible",NA,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Whanganui","Pacific","eligible",17,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"National","Pacific","eligible",1611,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Auckland","Pacific","full",209,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Bay of Plenty","Pacific","full",22,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Canterbury","Pacific","full",86,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Capital and Coast","Pacific","full",89,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Counties Manukau","Pacific","full",582,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Hawkes Bay","Pacific","full",37,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Hutt Valley","Pacific","full",36,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
"Lakes","Pacific","full",NA,"5 years","1 April 2020 to 30 June 2020 (Excel, 126 KB).xlsx","Ethnicity"
