"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"Counties Manukau","NZE","proportion","0.835570469798658","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Hawkes Bay","NZE","proportion","0.867256637168142","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Hutt Valley","NZE","proportion","0.843881856540084","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Lakes","NZE","proportion","0.766129032258065","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Midcentral","NZE","proportion","0.853479853479853","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Nelson Marlborough","NZE","proportion","0.799242424242424","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Northland","NZE","proportion","0.746113989637306","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"South Canterbury","NZE","proportion","0.83739837398374","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Southern","NZE","proportion","0.872822299651568","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Tairawhiti","NZE","proportion","0.714285714285714","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Taranaki","NZE","proportion","0.794871794871795","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Waikato","NZE","proportion","0.753694581280788","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Wairarapa","NZE","proportion","0.892857142857143","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Waitemata","NZE","proportion","0.776371308016878","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"West Coast","NZE","proportion","0.823529411764706","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Whanganui","NZE","proportion","0.813725490196078","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"National","NZE","proportion","0.818844099077222","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Auckland","Maori","eligible","187","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Bay of Plenty","Maori","eligible","330","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Canterbury","Maori","eligible","260","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Capital & Coast","Maori","eligible","209","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Counties Manukau","Maori","eligible","645","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Hawkes Bay","Maori","eligible","283","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
