"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"Taranaki","NZE","eligible",987,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Waikato","NZE","eligible",2528,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Wairarapa","NZE","eligible",311,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Waitemata","NZE","eligible",3028,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"West Coast","NZE","eligible",209,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Whanganui","NZE","eligible",386,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"National","NZE","eligible",25749,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Auckland","NZE","full",1429,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Bay of Plenty","NZE","full",1307,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Canterbury","NZE","full",3498,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Capital and Coast","NZE","full",1425,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Counties Manukau","NZE","full",1410,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Hawkes Bay","NZE","full",922,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Hutt Valley","NZE","full",824,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Lakes","NZE","full",499,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"MidCentral","NZE","full",1055,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Nelson Marlborough","NZE","full",917,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Northland","NZE","full",743,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"South Canterbury","NZE","full",452,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Southern","NZE","full",2190,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Tairawhiti","NZE","full",194,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Taranaki","NZE","full",891,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Waikato","NZE","full",2257,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Wairarapa","NZE","full",286,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Waitemata","NZE","full",2698,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"West Coast","NZE","full",196,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Whanganui","NZE","full",350,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"National","NZE","full",23543,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Auckland","NZE","proportion",0.929128738621587,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Bay of Plenty","NZE","proportion",0.867861885790173,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Canterbury","NZE","proportion",0.946684709066306,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Capital and Coast","NZE","proportion",0.933813892529489,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Counties Manukau","NZE","proportion",0.912621359223301,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Hawkes Bay","NZE","proportion",0.927565392354125,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Hutt Valley","NZE","proportion",0.94279176201373,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Lakes","NZE","proportion",0.887900355871886,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"MidCentral","NZE","proportion",0.945340501792115,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Nelson Marlborough","NZE","proportion",0.883429672447014,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Northland","NZE","proportion",0.826473859844271,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"South Canterbury","NZE","proportion",0.937759336099585,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Southern","NZE","proportion",0.948051948051948,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Tairawhiti","NZE","proportion",0.902325581395349,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Taranaki","NZE","proportion",0.90273556231003,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Waikato","NZE","proportion",0.892800632911392,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Wairarapa","NZE","proportion",0.919614147909968,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Waitemata","NZE","proportion",0.891017173051519,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"West Coast","NZE","proportion",0.937799043062201,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Whanganui","NZE","proportion",0.906735751295337,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"National","NZE","proportion",0.91432676997165,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Auckland","Maori","eligible",570,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Bay of Plenty","Maori","eligible",1303,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Canterbury","Maori","eligible",965,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Capital and Coast","Maori","eligible",553,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Counties Manukau","Maori","eligible",1866,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Hawkes Bay","Maori","eligible",922,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Hutt Valley","Maori","eligible",481,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Lakes","Maori","eligible",797,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"MidCentral","Maori","eligible",715,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Nelson Marlborough","Maori","eligible",309,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Northland","Maori","eligible",1338,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"South Canterbury","Maori","eligible",82,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Southern","Maori","eligible",602,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Tairawhiti","Maori","eligible",483,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Taranaki","Maori","eligible",515,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Waikato","Maori","eligible",1979,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Wairarapa","Maori","eligible",187,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Waitemata","Maori","eligible",1089,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"West Coast","Maori","eligible",77,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Whanganui","Maori","eligible",413,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"National","Maori","eligible",15246,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Auckland","Maori","full",488,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Bay of Plenty","Maori","full",1050,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Canterbury","Maori","full",877,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Capital and Coast","Maori","full",490,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
"Counties Manukau","Maori","full",1619,"5 years","1 April 2019 to 31 March 2020 (Excel, 140 KB).xlsx","Ethnicity"
