"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"Bay of Plenty","NZE","proportion","0.5","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Canterbury","NZE","proportion","-","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Capital & Coast","NZE","proportion","-","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Counties Manukau","NZE","proportion","0.72811059907834097","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Hawkes Bay","NZE","proportion","-","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Hutt Valley","NZE","proportion","-","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Lakes","NZE","proportion","0.5","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Midcentral","NZE","proportion","-","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Nelson Marlborough","NZE","proportion","-","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Northland","NZE","proportion","0.65714285714285714","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Otago","NZE","proportion","-","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"South Canterbury","NZE","proportion","-","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Southland","NZE","proportion","-","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Tairawhiti","NZE","proportion","-","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Taranaki","NZE","proportion","-","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Waikato","NZE","proportion","-","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Wairarapa","NZE","proportion","-","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Waitemata","NZE","proportion","0.716796875","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"West Coast","NZE","proportion","-","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Whanganui","NZE","proportion","-","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"National","NZE","proportion","0.69811320754716977","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Auckland","Maori","eligible","68","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Bay of Plenty","Maori","eligible","n/s","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Canterbury","Maori","eligible","n/s","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Capital & Coast","Maori","eligible","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Counties Manukau","Maori","eligible","491","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Hawkes Bay","Maori","eligible","n/s","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Hutt Valley","Maori","eligible","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Lakes","Maori","eligible","n/s","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Midcentral","Maori","eligible","n/s","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Nelson Marlborough","Maori","eligible","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Northland","Maori","eligible","47","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Otago","Maori","eligible","n/s","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"South Canterbury","Maori","eligible","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Southland","Maori","eligible","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
