"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"Auckland","NZE","full","311","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"Bay of Plenty","NZE","full","234","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"Canterbury","NZE","full","749","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"Capital & Coast","NZE","full","354","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"Counties Manukau","NZE","full","226","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"Hawkes Bay","NZE","full","223","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"Hutt Valley","NZE","full","188","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"Lakes","NZE","full","110","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"Midcentral","NZE","full","228","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"Nelson Marlborough","NZE","full","222","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"Northland","NZE","full","133","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"South Canterbury","NZE","full","128","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"Southern","NZE","full","516","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"Tairawhiti","NZE","full","28","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"Taranaki","NZE","full","177","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"Waikato","NZE","full","470","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"Wairarapa","NZE","full","58","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"Waitemata","NZE","full","503","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"West Coast","NZE","full","62","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
"Whanganui","NZE","full","98","5 Years","1 April 2014 to 30 June 2014 (Excel, 2.2 MB).xls","Ethnicity"
