"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"Whanganui","NZE","full",371,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"National","NZE","full",21289,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Auckland","NZE","proportion",0.875731945348081,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Bay of Plenty","NZE","proportion",0.798172124904798,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Canterbury","NZE","proportion",0.90536013400335,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Capital & Coast","NZE","proportion",0.902469135802469,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Counties Manukau","NZE","proportion",0.801513877207738,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Hawkes Bay","NZE","proportion",0.913669064748201,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Hutt Valley","NZE","proportion",0.907407407407407,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Lakes","NZE","proportion",0.773654916512059,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Midcentral","NZE","proportion",0.918791312559018,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Nelson Marlborough","NZE","proportion",0.874753451676529,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Northland","NZE","proportion",0.765384615384615,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"South Canterbury","NZE","proportion",0.927404718693285,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Southern","NZE","proportion",0.902658486707566,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Tairawhiti","NZE","proportion",0.932098765432099,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Taranaki","NZE","proportion",0.88457269700333,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Waikato","NZE","proportion",0.775762572135202,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Wairarapa","NZE","proportion",0.912912912912913,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Waitemata","NZE","proportion",0.819160787226142,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"West Coast","NZE","proportion",0.878378378378378,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Whanganui","NZE","proportion",0.900485436893204,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"National","NZE","proportion",0.862217002146531,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Auckland","Maori","eligible",887,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Bay of Plenty","Maori","eligible",1331,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Canterbury","Maori","eligible",994,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Capital & Coast","Maori","eligible",672,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
