"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"Counties Manukau","NZE","full","1094","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Hawkes Bay","NZE","full","941","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Hutt Valley","NZE","full","753","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Lakes","NZE","full","458","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Midcentral","NZE","full","964","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Nelson Marlborough","NZE","full","972","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Northland","NZE","full","664","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Otago","NZE","full","1326","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"South Canterbury","NZE","full","481","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Southland","NZE","full","934","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Tairawhiti","NZE","full","170","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Taranaki","NZE","full","827","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Waikato","NZE","full","2189","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Wairarapa","NZE","full","293","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Waitemata","NZE","full","2355","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"West Coast","NZE","full","231","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Whanganui","NZE","full","317","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"National","NZE","full","22475","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Auckland","NZE","proportion","0.809096349491323","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Bay of Plenty","NZE","proportion","0.793313069908815","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
