"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"Bay of Plenty","Maori","eligible","289","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Canterbury","Maori","eligible","201","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Capital and Coast","Maori","eligible","151","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Counties Manukau","Maori","eligible","446","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Hawkes Bay","Maori","eligible","206","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Hutt Valley","Maori","eligible","107","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Lakes","Maori","eligible","189","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"MidCentral","Maori","eligible","167","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Nelson Marlborough","Maori","eligible","72","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Northland","Maori","eligible","314","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"South Canterbury","Maori","eligible","23","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Southern","Maori","eligible","134","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Tairawhiti","Maori","eligible","107","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Taranaki","Maori","eligible","112","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Waikato","Maori","eligible","467","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Wairarapa","Maori","eligible","43","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Waitemata","Maori","eligible","251","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"West Coast","Maori","eligible","23","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Whanganui","Maori","eligible","83","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"National","Maori","eligible","3535","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Auckland","Maori","full","110","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Bay of Plenty","Maori","full","224","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Canterbury","Maori","full","175","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Capital and Coast","Maori","full","133","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Counties Manukau","Maori","full","378","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Hawkes Bay","Maori","full","185","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Hutt Valley","Maori","full","100","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Lakes","Maori","full","153","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"MidCentral","Maori","full","153","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Nelson Marlborough","Maori","full","65","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Northland","Maori","full","263","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"South Canterbury","Maori","full","22","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Southern","Maori","full","124","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Tairawhiti","Maori","full","95","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Taranaki","Maori","full","96","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Waikato","Maori","full","386","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Wairarapa","Maori","full","42","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Waitemata","Maori","full","214","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"West Coast","Maori","full","20","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Whanganui","Maori","full","69","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"National","Maori","full","3007","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Auckland","Maori","proportion","0.733333333333333","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Bay of Plenty","Maori","proportion","0.775086505190311","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Canterbury","Maori","proportion","0.870646766169154","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Capital and Coast","Maori","proportion","0.880794701986755","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Counties Manukau","Maori","proportion","0.847533632286996","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Hawkes Bay","Maori","proportion","0.898058252427185","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Hutt Valley","Maori","proportion","0.934579439252337","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Lakes","Maori","proportion","0.80952380952381","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"MidCentral","Maori","proportion","0.916167664670659","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Nelson Marlborough","Maori","proportion","0.902777777777778","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Northland","Maori","proportion","0.837579617834395","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"South Canterbury","Maori","proportion","0.956521739130435","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Southern","Maori","proportion","0.925373134328358","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Tairawhiti","Maori","proportion","0.88785046728972","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Taranaki","Maori","proportion","0.857142857142857","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Waikato","Maori","proportion","0.826552462526767","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Wairarapa","Maori","proportion","0.976744186046511","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Waitemata","Maori","proportion","0.852589641434263","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"West Coast","Maori","proportion","0.869565217391304","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Whanganui","Maori","proportion","0.831325301204819","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"National","Maori","proportion","0.850636492220651","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Auckland","Pacific","eligible","249","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Bay of Plenty","Pacific","eligible","17","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Canterbury","Pacific","eligible","70","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Capital and Coast","Pacific","eligible","89","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Counties Manukau","Pacific","eligible","702","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Hawkes Bay","Pacific","eligible","33","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Hutt Valley","Pacific","eligible","58","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Lakes","Pacific","eligible","11","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"MidCentral","Pacific","eligible","25","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Nelson Marlborough","Pacific","eligible","n/s","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Northland","Pacific","eligible","21","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"South Canterbury","Pacific","eligible","n/s","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Southern","Pacific","eligible","32","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Tairawhiti","Pacific","eligible","n/s","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Taranaki","Pacific","eligible","n/s","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Waikato","Pacific","eligible","73","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Wairarapa","Pacific","eligible","n/s","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Waitemata","Pacific","eligible","231","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"West Coast","Pacific","eligible","n/s","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Whanganui","Pacific","eligible","n/s","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"National","Pacific","eligible","1640","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Auckland","Pacific","full","205","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Bay of Plenty","Pacific","full","14","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Canterbury","Pacific","full","63","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Capital and Coast","Pacific","full","85","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Counties Manukau","Pacific","full","643","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Hawkes Bay","Pacific","full","30","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Hutt Valley","Pacific","full","54","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Lakes","Pacific","full","11","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"MidCentral","Pacific","full","22","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
"Nelson Marlborough","Pacific","full","n/s","5 years","1 April 2018 to 30 June 2018 (Excel, 134 KB).xlsx","Ethnicity"
